away	away	bullseye	bullseye	circle	circle	dino	dino	dots	dots	h_lines	h_lines	high_lines	high_lines	slant_down	slant_down	slant_up	slant_up	star	star	v_lines	v_lines	wide_lines	wide_lines	x_shape	x_shape
x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y
32.3311102266	61.411101248	51.2038911373	83.3397766053	55.9930301513	79.2772636977	55.3846	97.1795	51.1479167122	90.8674123313	53.366566866	90.2080300059	57.6132335477	83.9051707998	52.8720214902	97.3432226575	47.6952008891	95.2411869282	58.2136082599	91.881891513	50.4815081703	93.2227013657	65.8155400946	95.5883740582	38.3377571839	92.472719051
53.4214628807	26.1868803879	58.9744699018	85.499817612	50.0322537946	79.013071199	51.5385	96.0256	50.5171258092	89.1023945866	52.8019793617	90.0880645063	51.2743918205	82.8179829379	59.0141444945	93.5748748733	44.6099759113	93.075835032	58.1960536923	92.2149886482	50.2824056687	97.6099835723	65.6722651618	91.9334018119	35.7518707905	94.1167680276
63.92020226	30.8321939163	51.8720726696	85.8297376348	51.2884586593	82.4359398425	46.1538	94.4872	50.2074801993	85.4600473951	47.0541298828	90.458936026	50.7538984114	76.7541289533	56.3751090389	96.30514763	43.8563814822	94.0858717713	58.7182307185	90.310532087	50.1867033389	99.6946801425	39.002716451	92.26183816	32.7672179591	88.5182945794
70.2895057187	82.5336485877	48.1799307865	85.0451167372	51.1705368873	79.1652941091	42.8205	91.4103	50.0694819181	83.0576695262	42.4484337816	89.5077001153	37.0211840116	81.954469997	37.8391996844	94.359443503	41.5789293984	90.3035665387	57.27837287	89.9076067166	50.3269108629	90.0220534916	37.7953028026	93.5324553607	33.7296067755	88.622265789
34.1188302357	45.7345513203	41.6832004024	84.0179406019	44.3779145287	78.1646280036	40.7692	88.3333	50.5628463386	82.9378217764	42.7040363241	90.4426288607	42.8817550897	80.1847700514	39.8853734176	90.6346620817	49.1774185559	96.6105324538	58.082020494	92.0081450101	50.4562073315	89.9874101286	35.5139005857	89.5991901138	37.238249327	83.7249284144
67.6707164012	37.110947969	37.8904155015	82.5674929978	45.0102700721	77.8808631153	38.7179	84.8718	50.288527801	82.9752535659	32.3789386326	90.144142631	37.1557104777	84.9541114129	44.0774051326	84.1258533023	42.6522509813	90.5606397307	57.4894477748	88.0852855629	30.4648469308	82.0892320845	39.2194529062	83.5434818364	36.0271982243	82.0407806505
53.2591294055	97.4757710964	39.5489736947	80.812601774	48.559816719	78.7883706035	35.641	79.8718	25.5834750822	82.9148911324	32.5307027362	70.1573965085	38.7318581261	83.7893564281	31.4970254888	67.9125621568	30.1233318217	81.1442953304	28.088741319	63.5107944263	30.5015964737	82.3071263462	31.5882013862	77.0280524208	39.2392807768	79.2637238398
63.5149808671	25.1000785788	39.6495738769	82.6645338713	42.1422682922	76.8806345544	33.0769	77.5641	25.4835833896	82.929084979	33.3652644305	70.4593354392	31.0005254108	82.5794805962	25.9525965456	73.0331803541	31.915519986	79.7904134869	28.0854682136	63.5901969481	30.489569227	77.7298801366	32.6577782482	80.1138612983	39.7845249391	82.2605658962
67.9805388133	80.9571652197	34.7505970472	80.0110909897	41.0269715735	76.4095884613	28.9744	74.4872	25.4435257049	82.8742004973	32.6560991775	70.0510704992	25.9854996226	74.3493875478	36.4347239148	62.2940454639	27.8877193574	75.4455759934	28.087273053	63.1232828116	30.45024833	79.8348944011	31.6415992679	77.6108331874	35.1660293896	84.1564919839
67.3724659005	29.720400203	27.560835291	72.8478255927	34.5753090115	72.7248411845	26.1538	71.4103	25.5651134237	82.9240977704	22.9550932697	70.4268951523	23.7145662909	75.0980490792	24.997482691	75.4415616626	27.5482344526	75.1647590544	27.5780252176	62.8210386566	30.5183947985	68.2525829388	30.9871426099	63.9440280336	40.622115916	78.5421042089
15.5607495229	80.0656402858	24.6355399754	71.6107148256	31.1686007236	69.2454213193	23.0769	66.4103	25.9288442731	82.8211841087	27.1498436318	70.2108058428	23.077319507	71.7205396747	32.2462751352	70.1105868383	20.2097781637	67.5166420988	27.7799191139	63.518147517	30.5116612138	66.0937181831	27.4396322054	65.7444629564	39.181907086	79.8190371976
71.7907676942	71.0654666627	20.9594648125	66.0414983826	32.6442540714	70.7325550334	22.3077	61.7949	27.5514782612	51.4873865306	26.1669092779	70.5003151212	24.9391368744	72.5802858084	18.1094722949	53.7081103324	24.4434528292	54.4736551228	28.5889998149	63.0240805653	30.4980777147	62.3849850338	30.5783699449	65.5219454667	42.4308889944	75.1336346406
70.2425464362	24.1095975542	20.6891490538	62.7213052064	26.6666456539	62.9809712052	22.3077	57.1795	27.5304663693	51.4148465629	26.3314570795	50.494556525	17.8934987136	71.1096873431	21.7960992263	49.4995295248	24.6308301331	53.3957388998	28.7391414969	62.7208638859	30.6202277519	60.8600821544	28.809401637	59.6210044666	43.0812558617	75.3467016413
64.9374355444	81.5542049945	19.2882047369	62.0630593582	26.4592623274	62.6346733709	23.3333	52.9487	27.0955703605	52.0767994399	22.0037091415	50.4994401238	23.6730818572	64.8708391385	24.150491069	47.1885335266	21.0379688969	49.829299645	27.0246032407	62.9018588649	30.4921854231	55.8789168923	27.9395185786	50.9850621313	44.3607194344	70.4742070546
62.2135245453	21.4758389969	20.0245005746	61.3426238695	25.5380076465	60.6302361093	25.8974	51.0256	27.4392496133	51.7120790527	23.2847479782	50.4743528321	23.7490719056	63.557171895	28.6031956015	44.2237227	27.106242932	54.7195531488	28.8013366963	63.389040388	30.474634333	52.3221596388	33.8499497887	46.2844744465	44.3247788435	71.0459044019
67.2694004772	18.7089683725	35.4695229971	43.1158849517	26.3207111933	62.3962811186	29.4872	51.0256	27.8782642594	50.70890793	27.6340383923	50.5036668574	32.2151786343	65.6009580191	20.9319996761	51.6462354868	28.0896176553	60.512212549	27.186463838	63.5587296478	30.500998079	48.0696996767	32.628463049	54.0637204929	47.552160202	66.4604037217
40.5701970446	79.3729634752	36.8943276507	47.7065559687	26.1633874648	62.0268148985	32.8205	51.0256	27.3388689181	51.6530467544	32.0371080007	50.5000661229	29.4368412489	67.5545281141	35.4355325251	34.9610381566	31.1357349152	61.4319127116	29.2851466002	63.3836058254	30.4944213623	45.7734755346	32.4386500903	49.9030194916	48.6649246215	64.9610049438
74.7411813341	21.1016372041	39.0555497751	55.5469737131	25.2137904611	60.2733986018	35.3846	51.4103	27.6784029741	51.1819891691	29.3365106528	50.461893969	40.0500951983	71.8890335708	44.3773828236	57.6847369215	37.700837521	68.4184052804	39.4029453026	51.1508571967	30.4995445502	49.3820997506	35.8382920833	53.3514883396	46.280631958	68.0284231525
71.7683189223	20.0110618423	46.9570801494	65.2404073935	26.8595295604	63.1418346727	40.2564	51.4103	52.6356576791	51.4185522584	40.816953133	50.4877601957	37.5747950188	69.9887444412	46.313692406	55.6855917703	43.3926884016	43.5975940692	28.8113284396	61.3578540576	50.144392979	47.0142836417	37.1420429198	49.7419879519	50.5632444849	62.6238279659
76.1669198143	75.9361704048	37.3104527352	45.2587508999	31.7606691716	69.7976553936	44.1026	52.9487	52.0252141055	52.1230110467	42.7390751173	50.483155992	49.3104686263	67.1687603206	46.3860739231	51.0021645381	51.2623974761	49.6665051258	34.3039579069	56.5421259093	49.9128985877	55.5878389121	34.6445467746	54.4441077764	52.6309642318	59.9639357915
65.6236574431	15.5828033531	40.0096720019	60.9865825077	39.7932905744	75.8079642168	46.6667	54.1026	52.8811647904	50.6215547554	51.8678937691	50.4932732621	47.3480185524	72.5916115408	42.4954400876	56.9036815315	43.2867129203	43.0568603208	29.6027609801	60.157346722	50.3374274859	57.9553142818	35.675404696	49.6256433471	54.6362064446	57.4938424367
50.8506336394	13.9876016304	48.0143866846	65.7128195934	45.6174391854	78.1199702277	50.0	55.2564	52.9526073133	50.0747390118	43.3710018924	50.5008373234	50.157414434	71.1617258246	44.3005150328	58.1329592781	55.9059162338	54.2526725342	49.1161568603	63.6600006211	50.4189791992	60.5249117346	64.99458547	49.4621728312	51.346027139	61.6005530364
33.0240700249	24.4678303872	53.7037759268	66.3894820363	53.7714606827	79.3029316435	53.0769	55.641	52.5205524936	51.5024421035	53.0427983006	50.4875038691	58.2100082697	68.0445380719	46.9882833458	55.4206367313	50.198958949	52.2250295948	39.6175458263	62.9251879574	50.2052589714	57.9242171676	66.1291498342	61.6437178853	57.134855354	53.8779658045
39.7063261674	84.2752871038	63.0674998921	64.0350004581	56.4514336733	79.2471070208	56.6667	56.0256	52.3428220582	51.8619520908	56.6189102967	50.5033740178	56.6089076561	70.4089460888	52.4215231623	47.867005488	55.761587372	54.0305172396	43.23308466	63.1652187223	50.4353151633	56.4393224734	65.790651882	55.9453737171	54.1712415737	58.0598078952
45.5964849542	9.76334884943	62.0480325076	63.8458632494	66.0937201989	77.0178182606	59.2308	57.9487	51.9275902141	52.2577906065	70.568289819	50.4962361243	52.8338205303	72.5518862725	64.090998189	68.6509850107	58.3231396505	60.0310591646	64.8927879422	65.8141767574	69.5057889042	59.2849248279	67.5017806138	60.8502274659	50.9423823071	62.0973939351
42.9680469104	17.9454583961	59.8399667124	64.4767644437	56.9258394194	79.2063186226	61.2821	62.1795	52.7137744894	51.1979443188	67.870887292	70.0680261345	61.8185854576	76.1128240228	63.0168717563	68.2252589114	70.171457528	70.2822212385	62.4901493154	74.5842896072	69.5340709833	64.8929773346	67.6295142176	61.4291060701	66.512924456	59.0712818478
52.4944067819	16.0511142003	55.1609418175	65.2373081694	58.9882538467	78.9172589554	61.5385	66.4103	50.4438027888	82.9418288173	58.8215465891	70.4557817483	61.7276334143	77.0692384058	67.3025779226	64.4134627173	60.600276471	59.7533088802	68.9880844294	63.232147305	69.5101069302	61.3296244282	63.9100640599	62.9723349305	64.3979095023	56.1748754008
46.0822757831	23.1104578154	61.2797865792	65.766402504	57.9022660533	79.0808678187	61.7949	69.1026	50.2166950326	83.7523429676	60.1869278445	70.4835512458	62.1922520815	76.1568192103	67.2259568904	62.4764105301	63.7602750188	61.1856411696	62.1056186306	75.9908707599	69.5263228876	56.9952791254	66.5493579687	67.7255886599	68.686593294	62.2373439902
74.2477082092	20.314187812	60.8349175348	64.6037697063	64.8128669568	77.4869389235	57.4359	55.2564	52.1841801076	51.9752506714	59.4355174849	50.4206326073	58.1187658587	73.1189614684	50.309988715	47.2678818553	54.3894952619	53.811901225	32.4618467439	62.8819029189	49.9472399619	48.2295767261	64.0515417112	48.8200939835	65.0277937057	57.0962573525
64.5682641863	83.6396338956	61.5205906458	64.7918550418	60.3497935166	78.7294458673	54.8718	49.8718	52.7920973459	51.0733956509	49.5858434795	50.4349813825	58.2704123843	35.5968950425	45.4126389249	53.8707976895	55.2412969947	52.5935746267	41.3272006535	49.0702512739	50.0631041291	58.085037556	68.1932895833	46.5435408096	53.3045031712	40.883844549
74.0216939058	76.1282745076	36.916543863	41.0952474383	48.890555756	16.8065435154	52.5641	46.0256	52.5897198565	51.338090196	41.7797417848	50.4706422808	59.7665303129	32.6212516009	54.0206071815	47.2698972057	49.0701267502	48.8969446811	44.0071499323	46.4496737846	50.489902373	39.2054119682	65.2783891952	44.8203529292	52.9451780881	40.3846256942
62.3911805626	5.62307076073	38.5021996714	41.5671556174	47.549506348	17.0714045245	48.2051	38.3333	52.0288486671	52.1768375002	46.1276863394	30.4494107792	52.5355347207	27.1741229419	49.8420222483	50.5765522936	46.0181190216	46.2577233718	44.0740606888	34.5532038906	49.6888638379	42.018514414	34.9976613883	28.6329939351	45.225738199	30.5552259226
74.189036683	68.1335832223	48.6643707344	30.6806668519	30.8894308257	26.3290372348	49.4872	42.1795	52.729246581	51.2017650475	38.0337837705	50.4908995189	50.8925215809	29.1452839382	50.7132995657	48.7722867825	44.7595874356	41.9746066134	44.0013152386	33.9042073544	50.3334811097	43.588671479	33.9237661692	53.5586885227	50.8433046202	37.7446280981
28.2367819396	56.1395964513	50.2852524042	30.3379221051	28.972835724	29.0504689185	51.0256	44.1026	52.8843132864	50.4414354501	44.5468412844	50.4159133758	49.9675511775	28.4602033343	55.0455549106	45.9862727459	51.6006241332	50.0324668853	45.0063004454	38.2990195507	50.4467514196	57.2305889423	66.0044543688	52.6846691452	49.6592939398	36.273442735
75.7719387944	69.8292300322	42.276332666	34.5276361236	35.1613607523	22.7868496473	45.3846	36.4103	52.5093008862	51.4162051508	46.2381175975	30.4956129408	51.3478832298	27.3642602259	37.5437012597	32.8840244657	36.4658820182	35.5241876075	44.4438406096	36.0190833012	50.4209091963	43.3479568967	37.0232562464	32.1184816794	47.1427889348	32.0250641734
75.8552294691	62.5170442862	54.0317756204	29.6723483149	45.8703691685	17.4893933655	42.8205	32.5641	50.8626843321	17.1456310914	49.7397453317	30.4727248868	37.5551162883	24.5376638386	39.7958978066	28.4432191156	33.3947987327	35.0168013145	42.1787133986	26.492119482	50.3740520508	32.9182406167	34.6982700852	36.4753541349	41.2700565259	21.7218171465
65.9708570175	72.7448559954	37.3293552552	39.6020423074	32.8314206076	24.7975381459	38.7179	31.4103	50.8914922458	17.1413237277	39.1102518936	30.4786951789	39.1995941778	23.6804956588	28.5233910215	39.7966662481	37.5800715749	38.8315722007	44.0445656189	35.6622382764	30.4768299051	39.4246055913	34.8634441715	30.9392745218	47.1301271555	31.3099029222
21.7780404779	6.61662530728	41.389522551	37.2960562328	39.4855747899	20.0330500489	35.1282	30.2564	25.8551275976	17.0819086886	39.1428377913	30.7928559394	36.3827221955	25.2380052325	31.3996460012	39.2652632229	36.619722059	36.8114141094	41.6404540171	27.0930954213	30.5034743497	38.3485561381	31.0900650789	32.3837547196	40.9159715783	23.5415923929
67.7597962473	72.4212015285	40.0746666572	34.6236852027	33.4461829314	24.1906434075	32.5641	32.1795	26.0256445518	16.9250135319	34.6254702671	30.4997410297	41.1006943822	26.5526132161	39.2415652162	33.3614166846	36.1634664356	33.819314199	41.9383300069	24.9915229793	30.5048349283	28.7714879939	34.9213061465	35.4184380529	38.6601639737	21.6895496369
78.6171953363	52.5752573142	35.3496806211	47.1410731332	21.8635812756	46.0525933457	30.0	36.7949	27.8931727187	50.6619634101	34.7542074707	30.4958650002	28.2178118248	28.2802924847	27.7140565712	42.2500516253	33.1677570349	31.2477411672	44.0539275103	33.5563924949	30.4622184647	32.7504720275	30.343361183	32.5245631742	42.6125508262	24.195053774
68.5077081898	15.4569189652	34.7637004189	47.6247999245	25.1658708449	35.7666139539	33.5897	41.4103	27.6399679354	51.3990974838	36.7537002386	50.5293043035	33.7970720433	28.6997507433	32.9607035213	35.8231112903	42.6449829318	40.1543216386	39.2067193308	51.5337156971	30.491302622	43.5613740753	35.4833288685	44.4916349303	41.2090395008	24.1287091891
74.8850211598	25.4166063231	37.0266294472	44.4622930512	22.9594789762	51.2877067934	36.6667	45.641	27.892658895	50.7952815163	37.0193512929	50.4926666972	43.9193873055	27.7978445882	35.4047362397	31.9391621952	47.2250252695	44.5756466185	28.7044492315	61.7775254006	30.449653838	44.9951230008	33.2349104271	38.502483721	50.6492211499	37.4837907435
66.4549036599	19.8366286542	36.4555695327	40.791843032	25.5860552415	60.8465833585	38.2051	49.1026	52.7977329399	50.6860370901	41.4171152753	50.4697734181	44.4164011084	28.9476923345	51.6422264225	50.8383406788	48.3923630032	50.3315285645	31.7086628996	58.837754374	30.4859942157	47.3479464653	35.4399436182	47.7975176939	52.1319019406	39.3646020815
77.3178020985	48.3983464352	35.5376642131	48.7293868661	26.3143100672	33.2971681038	29.7436	36.0256	27.5806388053	51.5247612607	22.8171074784	30.4360403387	28.0376027706	26.8038243613	34.207620843	33.5938054385	27.2451932001	29.8195074488	42.8117114739	30.0204484197	30.5020767935	36.4412129198	33.8735095227	37.056028453	39.7972712705	16.083549649
58.9124603193	75.6677562173	20.4089478892	32.2030304205	33.037301251	24.5644624921	29.7436	32.1795	26.4913985349	17.4053909738	34.800701463	30.4979313851	31.6895761296	26.6664002089	36.5234892198	35.6710483891	30.4043143388	29.0795399241	43.300614891	31.5264261979	30.4780588886	28.020580489	28.5641377966	34.6263997171	43.5498814807	24.3072109395
57.617447817	8.19480060319	23.4957104659	25.3224681542	36.4688894772	21.8761144725	30.0	29.1026	25.9853178159	17.203722132	27.8918897953	30.4849702595	27.2796128523	19.2572809685	28.4192021281	21.3157482481	30.0807992865	27.5880255173	40.3986329069	16.3470083822	30.5011608787	38.3141385582	31.3195486706	31.6639905316	36.7146633371	17.3818098572
76.0882257967	59.6799300235	29.5575433634	21.3647774591	26.5135531009	32.9187498178	32.0513	26.7949	26.2014192753	17.0938239128	32.8706391587	30.5023417488	31.2218783581	26.4408557812	26.1604969417	23.0422314726	33.9806339675	35.0330581489	40.4356915763	20.2326706762	30.5047730174	26.4166256707	30.796174379	23.5190343602	37.2246101278	17.9800644828
57.4660505497	1.50441817488	33.0082339121	15.9850714584	36.0270912125	22.1954385395	35.8974	25.2564	25.8575694746	17.113842659	37.7940494081	30.4926383364	33.5458051034	20.0807081014	40.435327397	27.6400711421	34.2506117649	34.4415865654	40.9365466658	16.9130048364	30.509115326	22.8255471196	34.2333554347	22.4959116015	40.5124478537	22.9622145725
79.4283834934	45.2107942872	53.9803991821	29.3509867092	42.6810404129	18.5425361977	41.0256	25.2564	50.7046843629	17.0237445436	35.6673163042	30.522035054	39.7363306065	23.4948069772	44.544955314	27.3622426221	51.1411835714	20.6183237784	39.6615736653	15.609355577	50.1156321728	16.6940065479	36.6307877065	31.4768312621	40.2220627884	20.6146217044
76.3565221496	10.4182411281	52.2343086004	29.7116729865	45.0410771273	17.7345177303	44.1026	25.641	50.8119753465	17.1149252621	48.4422995026	30.5017227753	42.8418426525	20.3339004396	40.1237272008	30.0731619402	49.899592066	19.5640835356	40.899259175	20.7985289466	50.4483013392	21.6402564599	34.5486191018	26.1110878654	44.1249612057	23.3662452858
64.4050752632	78.5841760758	59.5030766063	30.6696739448	47.3524164557	17.1347454264	47.1795	28.718	50.5648455577	17.0777773216	58.6693732631	30.5068378948	47.0937298879	26.9934706312	42.1848064503	28.5736747331	55.5898773424	26.2992451143	41.9686168283	26.4970725985	50.17317743	29.177864393	37.5196356	29.2676058936	42.3462616039	24.5583269437
40.6350418091	73.3947503698	41.1637810689	34.3157582514	53.8461940322	16.3873180961	49.4872	31.4103	50.9393039127	16.981021883	47.9169554375	30.4867257545	51.4536583539	26.0229417521	40.0026592892	27.4875100027	55.4820563581	22.8274662445	40.3834058238	21.3912255247	49.9227419194	38.4404729124	62.4256973267	34.0442062707	44.1890843708	28.772625473
43.9498645857	75.9587156671	48.9930401201	32.0303588363	55.1296393835	16.3532468711	51.5385	34.8718	50.4588548392	17.0385789686	51.8941663939	30.494755684	49.3677068167	22.005580703	57.1252310509	42.7390191388	63.5729393821	32.9386176053	56.5381264538	32.4442454697	50.3112993746	26.8604882737	64.320383794	31.7856294846	45.8142453101	31.056979672
30.9962205791	71.694404938	59.2692803248	29.6407017654	52.1881199617	16.4182174652	53.5897	37.5641	52.9013640729	50.6905627231	51.7490891643	30.4729933399	48.2534809736	29.2708555331	60.375744968	41.3564579961	59.0250770848	28.3220858801	52.9706912828	29.0401966941	50.3994096114	38.9638389234	65.4455325117	43.2734991936	46.6431192691	31.4072190618
68.2307689907	80.8725016628	45.4691770035	33.8311927323	58.6726630845	16.6633724322	55.1282	40.641	52.6849534438	51.2944692191	58.2465530013	50.4428744949	61.0029597643	30.0153144324	55.1058961252	46.1490510561	62.4237785929	33.4865952868	54.6209525885	30.3445244537	50.3373626448	40.913386144	64.3256315887	41.6159763773	52.1898883047	39.3677964938
72.0463894612	12.9180067349	62.6912665406	30.2903738312	82.1443116037	33.1952218669	56.6667	42.1795	52.500088943	51.594356165	57.3106968674	50.4825132895	60.8065608049	27.8683134861	61.7372710245	38.5848440052	47.849907703	48.556624645	65.0990443941	27.2415575588	50.2023180965	47.2129480045	65.264338195	35.7175447772	51.1003173587	38.095699984
46.5927679682	84.9723827774	73.4286708654	48.5778551303	75.6865711383	24.7415103908	59.2308	44.4872	51.8356372562	52.3357655339	67.9680481127	50.4521589097	59.0674270249	26.7882840217	55.7412443246	46.6535769763	52.2685616825	52.8052401961	63.0559909076	29.7090956748	50.2749326091	49.6234993439	66.388704175	38.8447443366	65.4008341477	42.6140320392
49.2572183396	81.8814032306	70.846426107	52.282253331	85.344964503	52.886419866	62.3077	46.0256	76.9954121013	52.0455286534	65.9493192681	50.494240794	61.4146337175	31.0393750583	58.2964084158	41.5831977346	68.8510215758	39.573434273	70.9601362323	41.2595012867	69.4943803061	52.6124107059	68.1914228192	45.1694864796	64.8520398267	43.1337348404
42.7817612539	12.9911884302	71.5390198495	45.5218061588	83.8446535127	58.6160602305	64.8718	46.7949	77.310600475	51.7467300374	55.7470928102	50.4789748003	68.9343694692	31.6198930866	57.0425482213	42.418757739	65.6763960251	35.1093154301	69.8958192404	43.4537592655	69.5193397556	47.384533707	68.5406624515	48.4385263389	63.4038060118	44.847493688
65.475952195	14.2745856444	67.6208658884	38.0065584658	85.66476066	45.5427527692	67.9487	47.9487	77.9260443352	50.3186604237	68.4030100436	50.4986272318	63.0652438592	34.2357465852	76.7756112073	55.2545987009	77.7468851148	47.3718241139	70.5958928563	41.9647438672	69.5291826079	57.8412666804	67.6614312657	51.0685845873	65.3715488709	42.6959713164
71.9650826544	17.7102359443	72.4709525633	51.1221348241	77.931004934	68.6900618808	70.5128	53.718	77.2543883433	51.4618248152	76.696465628	50.4938305609	72.2725228706	67.6444437851	71.8870772602	59.2669926152	80.352934115	47.8002988852	69.6470214273	44.044445022	69.495755496	58.785073162	68.6755160534	50.465234811	61.9080397046	53.1903520694
32.1464623358	43.4817094425	64.8122375621	62.8109155873	73.0318330209	73.12057473	71.5385	60.641	76.2431578028	52.1236898503	67.2148371159	70.2600284356	75.3598819664	75.4216145799	73.7883730663	58.6208121164	60.3375864858	63.0349593272	77.392982494	63.3714590552	69.199057706	60.4189573202	69.0817099788	55.4740530987	71.8266529973	65.6862303604
31.8384976954	71.8121653901	60.8536798727	65.4991470327	70.1028044999	75.6832068542	71.5385	64.4872	77.0844843669	51.9671367003	72.3020057291	70.2204373812	72.8336258709	72.1146938095	75.1396847343	54.2445521781	61.6587233282	64.1000234779	64.4007871926	67.4487184472	69.5510914402	58.4010982686	69.048716493	66.3660457477	72.6546231621	66.8782776113
31.0052582572	40.682503007	67.7894961571	61.3637015467	57.1446946889	79.1941025922	69.4872	69.4872	75.2280531954	82.9856620201	66.7632573944	70.4738617113	70.8104148392	79.3504618327	64.5963189058	65.952512925	71.5450389858	72.657716331	63.8689598271	70.2137388333	69.5066843151	68.0844667893	67.3082233775	71.5902965807	76.8885781632	72.1654720777
80.4708943189	49.5021483467	41.6095572691	83.8486865559	46.9624619942	78.6665589963	46.9231	79.8718	50.6583547714	83.1144793358	51.6803004439	89.9970275485	45.8019347617	81.6582677456	46.9095386323	85.6022611586	49.0409566406	77.3625832678	56.5944213157	86.9270062202	50.4441175504	75.0132995059	38.714899408	76.3969778172	43.7446196844	71.2679610751
71.9641671122	41.8742826668	53.0030253202	84.6747986012	50.5649338128	79.0772985529	48.2051	84.1026	50.2033658114	82.9826568621	53.0965573571	89.540243712	45.835020171	82.7425919919	46.9051031994	81.5656424136	51.8868880222	80.1136076892	56.5313372853	87.4998110713	50.4672293846	90.281464505	35.5480948795	89.3049758407	39.0542484428	83.1190207043
78.0794214417	93.1333167652	54.7141710591	84.0431280734	53.7196765696	79.306936167	50.0	85.2564	50.9295476993	82.8460411252	42.2422929389	89.7085785936	40.0788064496	80.2471852579	49.8069877356	82.085025592	57.968981435	85.3560457326	59.6521583697	87.8094615921	50.210881979	80.9417717084	36.7106729424	86.0749670003	39.9316746322	79.9391880033
41.6775957748	30.2012640846	44.2916687157	82.9094412144	54.2002323226	79.3250023354	53.0769	85.2564	50.1786718465	83.1846223323	56.2338756577	89.635308157	51.9829247003	82.2043834675	48.8632418189	83.1583574877	54.855664646	83.7833976656	56.6365087005	85.637495556	50.205406955	90.6405359009	64.9126624396	87.6457960566	39.762826107	76.4059674459
65.953595185	31.1474060835	49.1917219555	85.8762291224	47.875198343	78.6758534295	55.3846	86.0256	50.422698058	82.9099014671	54.6809865825	89.9645994589	57.337906053	84.9995188696	66.7481899024	84.0048341677	54.1331954613	83.7939960824	58.6722880025	90.077160307	50.4382906648	92.3547602661	66.0641357377	89.2086685815	41.323383287	80.2118685969
62.9344593731	31.9163906992	53.1013817819	84.5476586881	51.4734585149	79.1598669963	56.6667	86.0256	50.4642248341	82.9353284131	57.9026866088	89.6184017294	62.3362327624	83.2465678988	62.3597662841	90.2436599196	51.3088252568	80.1363911553	58.2216127264	90.4110187715	50.3735188462	82.2192057218	64.9359294757	87.0721381174	41.7873232275	83.9880779935
